NAMESPACE            NAME                                                    READY   STATUS      RESTARTS        AGE     IP               NODE        NOMINATED NODE   READINESS GATES
r55-asterisk         asterisk-1                                              1/1     Running     0               23h     10.244.0.106     talos-w1    <none>           <none>
r55-asterisk         kamailio-2wfmg                                          1/1     Running     0               23h     192.168.122.13   talos-w3    <none>           <none>
r55-asterisk         kamailio-gbv9p                                          1/1     Running     0               7h19m   192.168.122.11   talos-w1    <none>           <none>
r55-asterisk         kamailio-w4fd5                                          1/1     Running     1 (7h21m ago)   23h     192.168.122.12   talos-w2    <none>           <none>
r55-asterisk         rtpengine-bpw7z                                         1/1     Running     0               23h     192.168.122.13   talos-w3    <none>           <none>
r55-asterisk         rtpengine-rjwjn                                         1/1     Running     0               23h     192.168.122.12   talos-w2    <none>           <none>
r55-asterisk         rtpengine-znkxz                                         1/1     Running     0               23h     192.168.122.11   talos-w1    <none>           <none>
r55-data             postgres-1                                              1/1     Running     0               7h25m   10.244.1.142     talos-w2    <none>           <none>
r55-data             postgres-2                                              1/1     Running     0               23h     10.244.3.100     talos-w3    <none>           <none>
r55-data             postgres-3                                              1/1     Running     0               87s     10.244.0.102     talos-w1    <none>           <none>
r55-data             postgres-pooler-5876fc5fb5-lxtpp                        1/1     Running     0               23h     10.244.3.158     talos-w3    <none>           <none>
r55-data             postgres-pooler-5876fc5fb5-tn2fl                        1/1     Running     0               23h     10.244.1.27      talos-w2    <none>           <none>
r55-data             postgres-pooler-6444f88557-8ftwn                        0/1     Completed   2 (2d10h ago)   20d     <none>           talos-w2    <none>           <none>
r55-data             postgres-pooler-6444f88557-gkcqk                        0/1     Completed   2 (2d10h ago)   20d     <none>           talos-w3    <none>           <none>
r55-data             redis-0                                                 1/1     Running     0               7h22m   10.244.1.122     talos-w2    <none>           <none>
r55-platform         platform-api-57f8d6c7b6-7n2km                           1/1     Running     0               3m46s   10.244.3.99      talos-w3    <none>           <none>
r55-platform         platform-api-57f8d6c7b6-bt4br                           1/1     Running     0               2m46s   10.244.1.156     talos-w2    <none>           <none>
r55-platform         platform-api-57f8d6c7b6-f8s5d                           1/1     Running     0               3m46s   10.244.1.103     talos-w2    <none>           <none>
r55-platform         platform-api-57f8d6c7b6-nhgwx                           1/1     Running     0               7h24m   10.244.3.39      talos-w3    <none>           <none>
r55-platform         platform-api-57f8d6c7b6-r4nhx                           1/1     Running     0               2m46s   10.244.0.50      talos-w1    <none>           <none>
r55-platform         platform-api-57f8d6c7b6-vtgk9                           1/1     Running     0               8h      10.244.0.218     talos-w1    <none>           <none>
r55-platform         platform-realtime-f485db766-t8msj                       1/1     Running     0               8h      10.244.1.221     talos-w2    <none>           <none>
r55-platform         web-6b9ccdb796-c77tj                                    1/1     Running     0               13h     10.244.3.45      talos-w3    <none>           <none>
